secao;perfil;campo;valor
simulacao_sem_lei;P1;lei;False
simulacao_sem_lei;P1;receita;480000
simulacao_sem_lei;P1;irpj;23040.0000
simulacao_sem_lei;P1;csll;13824.0000
simulacao_sem_lei;P1;pis_cofins;17520.0000
simulacao_sem_lei;P1;iss;9600.0000
simulacao_sem_lei;P1;tributos_pj;63984.0000
simulacao_sem_lei;P1;custos;38400.0000
simulacao_sem_lei;P1;prolabore;101706.6000
simulacao_sem_lei;P1;inss_patronal;20341.3200
simulacao_sem_lei;P1;lucro;255568.0800
simulacao_sem_lei;P1;aliq_efetiva_irpj_csll_sobre_lucro;0.1442
simulacao_sem_lei;P1;dividendos;255568.0800
simulacao_sem_lei;P1;div_mes;21297.3400
simulacao_sem_lei;P1;inss_seg;11187.7260
simulacao_sem_lei;P1;pgbl;0.0000
simulacao_sem_lei;P1;base_irpf;90518.8740
simulacao_sem_lei;P1;irpf;13987.9304
simulacao_sem_lei;P1;rend_rf;49140.0000
simulacao_sem_lei;P1;ir_rf;7371.0000
simulacao_sem_lei;P1;rend_isentos;14414.4000
simulacao_sem_lei;P1;div_acoes;3600.0000
simulacao_sem_lei;P1;rend_fii;4800.0000
simulacao_sem_lei;P1;base_irpfm;410014.6800
simulacao_sem_lei;P1;aliq_irpfm;0.0000
simulacao_sem_lei;P1;irpfm_bruto;0.0000
simulacao_sem_lei;P1;creditos;21358.9304
simulacao_sem_lei;P1;retencao;0.0000
simulacao_sem_lei;P1;restituicao;0.0000
simulacao_sem_lei;P1;irpfm_liquido;0.0000
simulacao_sem_lei;P1;custo_caixa_retencao;0.0000
simulacao_sem_lei;P1;imposto_pf_total;21358.9304
simulacao_sem_lei;P1;imposto_total;58222.9304
simulacao_sem_lei;P1;renda_bruta_total;429229.0800
simulacao_sem_lei;P1;carga_efetiva_total;0.1356
simulacao_sem_lei;P1;marginal_bruta;0.0000
simulacao_sem_lei;P1;binding;False
simulacao_sem_lei;P1;marg_dividendo;0.0000
simulacao_sem_lei;P1;marg_rf_trib;0.1500
simulacao_sem_lei;P1;marg_isento;0.0000
simulacao_sem_lei;P1;lci_breakeven_pct_cdi;0.8500
simulacao_sem_lei;P1;carga_pj;0.1442
simulacao_sem_lei;P1;carga_combinada;0.1442
simulacao_sem_lei;P1;redutor_aplica;False
simulacao_sem_lei;P1;dist_piso;189985.3200
simulacao_com_lei;P1;lei;True
simulacao_com_lei;P1;receita;480000
simulacao_com_lei;P1;irpj;23040.0000
simulacao_com_lei;P1;csll;13824.0000
simulacao_com_lei;P1;pis_cofins;17520.0000
simulacao_com_lei;P1;iss;9600.0000
simulacao_com_lei;P1;tributos_pj;63984.0000
simulacao_com_lei;P1;custos;38400.0000
simulacao_com_lei;P1;prolabore;101706.6000
simulacao_com_lei;P1;inss_patronal;20341.3200
simulacao_com_lei;P1;lucro;255568.0800
simulacao_com_lei;P1;aliq_efetiva_irpj_csll_sobre_lucro;0.1442
simulacao_com_lei;P1;dividendos;255568.0800
simulacao_com_lei;P1;div_mes;21297.3400
simulacao_com_lei;P1;inss_seg;11187.7260
simulacao_com_lei;P1;pgbl;0.0000
simulacao_com_lei;P1;base_irpf;90518.8740
simulacao_com_lei;P1;irpf;13987.9304
simulacao_com_lei;P1;rend_rf;49140.0000
simulacao_com_lei;P1;ir_rf;7371.0000
simulacao_com_lei;P1;rend_isentos;14414.4000
simulacao_com_lei;P1;div_acoes;3600.0000
simulacao_com_lei;P1;rend_fii;4800.0000
simulacao_com_lei;P1;base_irpfm;410014.6800
simulacao_com_lei;P1;aliq_irpfm;0.0000
simulacao_com_lei;P1;irpfm_bruto;0.0000
simulacao_com_lei;P1;creditos;21358.9304
simulacao_com_lei;P1;retencao;0.0000
simulacao_com_lei;P1;restituicao;0.0000
simulacao_com_lei;P1;irpfm_liquido;0.0000
simulacao_com_lei;P1;custo_caixa_retencao;0.0000
simulacao_com_lei;P1;imposto_pf_total;21358.9304
simulacao_com_lei;P1;imposto_total;58222.9304
simulacao_com_lei;P1;renda_bruta_total;429229.0800
simulacao_com_lei;P1;carga_efetiva_total;0.1356
simulacao_com_lei;P1;marginal_bruta;0.0000
simulacao_com_lei;P1;binding;False
simulacao_com_lei;P1;marg_dividendo;0.0000
simulacao_com_lei;P1;marg_rf_trib;0.1500
simulacao_com_lei;P1;marg_isento;0.0000
simulacao_com_lei;P1;lci_breakeven_pct_cdi;0.8500
simulacao_com_lei;P1;carga_pj;0.1442
simulacao_com_lei;P1;carga_combinada;0.1442
simulacao_com_lei;P1;redutor_aplica;False
simulacao_com_lei;P1;dist_piso;189985.3200
erosao;P1;2026_ano;2026
erosao;P1;2026_fator;1.0000
erosao;P1;2026_base_nominal;410014.6800
erosao;P1;2026_aliq;0.0000
erosao;P1;2026_irpfm_nominal;0.0000
erosao;P1;2026_irpfm_real;0.0000
erosao;P1;2026_marginal;0.0000
erosao;P1;2026_binding;False
erosao;P1;2027_ano;2027
erosao;P1;2027_fator;1.0450
erosao;P1;2027_base_nominal;428465.3406
erosao;P1;2027_aliq;0.0000
erosao;P1;2027_irpfm_nominal;0.0000
erosao;P1;2027_irpfm_real;0.0000
erosao;P1;2027_marginal;0.0000
erosao;P1;2027_binding;False
